City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
280,Karaj,IR,2022-11-13 20:19:34,35.8355,51.0103,45.12,49,0,9.22
281,Westport,US,2022-11-13 20:15:20,41.1415,-73.3579,53.64,54,40,16.11
282,Deputatskiy,RU,2022-11-13 20:19:34,69.3,139.9,-23.71,99,100,3.76
283,Ibra,OM,2022-11-13 20:19:35,22.6906,58.5334,71.28,49,1,1.74
284,Otse,BW,2022-11-13 20:19:35,-25.0167,25.7333,68.5,60,48,2.21
285,Codrington,AU,2022-11-13 20:19:35,-38.2667,141.9667,52.12,96,92,11.21
286,Marystown,CA,2022-11-13 20:19:36,47.1666,-55.1483,39.85,100,100,1.99
287,Mangrol,IN,2022-11-13 20:19:36,21.1167,70.1167,78.12,59,5,4.29
288,Assare,BR,2022-11-13 20:19:36,-6.8744,-39.875,87.31,41,86,4.25
289,Severo-Yeniseyskiy,RU,2022-11-13 20:19:37,60.3725,93.0408,16.68,97,100,3.76
290,Hof,DE,2022-11-13 20:15:14,50.3167,11.9167,40.5,86,100,8.05
291,Niteroi,BR,2022-11-13 20:19:37,-22.8833,-43.1036,78.46,72,20,13.8
292,Acarau,BR,2022-11-13 20:16:18,-2.8856,-40.12,81.64,75,6,18.77
293,Adrar,MR,2022-11-13 20:19:38,20.5022,-10.0711,77.59,12,7,8.77
